회차,1,2,3,4,5,6,보너스,당첨금액
523,1,4,37,38,40,45,7,1780355840
522,4,5,13,14,37,41,11,2281623000
521,3,7,18,29,32,36,19,1693420922
520,4,22,27,28,38,40,1,2167205438
519,6,8,13,16,30,43,3,1950601393
518,14,23,30,32,34,38,6,2263804125
517,1,9,12,28,36,41,10,2659057725
516,2,8,23,41,43,44,30,1294190182
515,2,11,12,15,23,37,8,13200466875
514,1,15,20,26,35,42,9,4451055500
513,5,8,21,23,27,33,12,4589624750
512,4,5,9,13,26,27,1,940094452
511,3,7,14,23,26,42,24,2165579250
510,12,29,32,33,39,40,42,2644158150
509,12,25,29,35,42,43,24,2689076100
508,5,27,31,34,35,43,37,1599557860
507,12,13,32,33,40,41,4,1416438875
506,6,9,11,22,24,30,31,4073333875
505,7,20,22,25,38,40,44,1917955188
504,6,14,22,26,43,44,31,1443236959
503,1,5,27,30,34,36,40,1853634911
502,6,22,28,32,34,40,26,2201458125
501,1,4,10,17,31,42,2,3025200094
500,3,4,12,20,24,34,41,1351072375
499,5,20,23,27,35,40,43,4070480250
498,13,14,24,32,39,41,3,3244503094
497,19,20,23,24,43,44,13,2222817813
496,4,13,20,29,36,41,39,3285932250
495,4,13,22,27,34,44,6,2111645000
494,5,7,8,15,30,43,22,1054588407
493,20,22,26,33,36,37,25,1451120334
492,22,27,31,35,37,40,42,2493013800
491,8,17,35,36,39,42,4,3304634438
490,2,7,26,29,40,43,42,1860234161
489,2,4,8,15,20,27,11,2106360625
488,2,8,17,30,31,38,25,1330393575
487,4,8,25,27,37,41,21,1638830766
486,1,2,23,25,38,40,43,1008634125
485,17,22,26,27,36,39,20,1501474917
484,1,3,27,28,32,45,11,2305303063
483,12,15,19,22,28,34,5,2567196675
482,1,10,16,24,25,35,43,1897921179
481,3,4,23,29,40,41,20,4639355750
480,3,5,10,17,30,31,16,2996742282
479,8,23,25,27,35,44,24,2233046500
478,18,29,30,37,39,43,8,987224759
477,14,25,29,32,33,45,37,1919011829
476,9,12,13,15,37,38,27,3439851469
475,1,9,14,16,21,29,3,1693923047
474,4,13,18,31,33,45,43,936690800
473,8,13,20,22,23,36,34,3250418063
472,16,25,26,31,36,43,44,1809656090
471,6,13,29,37,39,41,43,1939332858
470,10,16,20,39,41,42,27,4333330625
469,4,21,22,34,37,38,33,3330131250
468,8,13,15,28,37,43,17,1527197167
467,2,12,14,17,24,40,39,1435441084
466,4,10,13,23,32,44,20,1530313459
465,1,8,11,13,22,38,31,1923662893
464,6,12,15,34,42,44,4,3355721106
463,23,29,31,33,34,44,40,0
462,3,20,24,32,37,45,4,1483559297
461,11,18,26,31,37,40,43,1948674875
460,8,11,28,30,43,45,41,3180895782
459,4,6,10,14,25,40,12,1655842233
458,4,9,10,32,36,40,18,1608812625
457,8,10,18,23,27,40,33,1159902825
456,1,7,12,18,23,27,44,1598505054
455,4,19,20,26,30,35,24,1635711483
454,13,25,27,34,38,41,10,1609125590
453,12,24,33,38,40,42,30,2262732375
452,8,10,18,30,32,34,27,1276902000
451,12,15,20,24,30,38,29,882138952
450,6,14,19,21,23,31,13,1990391625
449,3,10,20,26,35,43,36,4059715250
448,3,7,13,27,40,41,36,4026212750
447,2,7,8,9,17,33,34,2657941125
446,1,11,12,14,26,35,6,4051247625
445,13,20,21,30,39,45,32,1791683036
444,11,13,23,35,43,45,17,4154188625
443,4,6,10,19,20,44,14,1327597584
442,25,27,29,36,38,40,41,1413413042
441,1,23,28,30,34,35,9,3170417063
440,10,22,28,34,36,44,2,1995873000
